mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6.673244397,1.124449089,0.006942828,8.35E-05,0.6,0.1,4,3,100,0.1,0.5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.5}",0.37596971,0.367409264,0.389086898,0.377488624,0.008914792,46,0.987720314,0.991633502,0.994219786,0.991191201,0.002671767
5.158973932,0.385348097,0.006672064,0.000470978,0.6,0.05,4,3,100,0.1,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.5}",0.398743857,0.27283458,0.459967445,0.377181961,0.077903204,47,0.890129237,0.925433975,0.928578141,0.914713785,0.017431225
1.2078046,0.205632407,0.005184253,0.000248991,0.6,0.05,2,1,100,0.1,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.5}",0.386397148,0.322604581,0.422197688,0.377066473,0.041190556,48,0.842395148,0.877559862,0.886232965,0.868729325,0.018954724
1.403411229,0.083857036,0.005345027,0.000249124,0.6,0.05,2,1,100,0.2,1,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 1, 'subsample': 0.5}",0.403776554,0.3301662,0.397123655,0.377022136,0.033243289,49,0.887605158,0.892977305,0.912608661,0.897730375,0.010746706
4.65826567,0.075003273,0.006013552,0.000717968,0.6,0.05,4,3,100,0.2,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 0.5}",0.379293299,0.289283523,0.461584467,0.37672043,0.070365089,50,0.873498216,0.911205055,0.913160193,0.899287822,0.018253464
11.56848272,0.469945117,0.006187042,0.00062375,1,0.05,4,1,150,0.2,1,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 150, 'reg_alpha': 0.2, 'reg_lambda': 1, 'subsample': 0.5}",0.448357077,0.325211688,0.356395097,0.376654621,0.052275124,51,0.964361593,0.971787918,0.977918191,0.971355901,0.005542882
3.011635224,0.338928161,0.006526391,0.000818867,0.6,0.1,4,3,50,0.2,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 50, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 0.5}",0.403492789,0.26861858,0.457043333,0.376384901,0.07927631,52,0.864765482,0.917203303,0.917442319,0.899803701,0.024775954
7.334664901,0.84924237,0.007016102,0.001086101,0.6,0.05,4,3,150,0.1,1,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.5}",0.417700382,0.30351965,0.407328103,0.376182712,0.051554738,53,0.974575166,0.980514165,0.984456005,0.979848445,0.004061209
7.663171371,0.091078013,0.005510966,0.000410849,1,0.05,4,1,100,0.2,5,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 0.5}",0.397733984,0.321527013,0.406603297,0.375288098,0.038186881,54,0.87984952,0.915353733,0.916933263,0.904045505,0.017121293
2.331822395,0.19223604,0.005505721,0.000701609,0.6,0.05,4,3,50,0.1,0.5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.5}",0.360262952,0.316048048,0.449145287,0.375152096,0.05534729,55,0.843849583,0.88145218,0.886095131,0.870465631,0.018915598
